ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"87","1953",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"88","1953",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"89","1953",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"90","1953",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"91","1950",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"92","1950",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"93","1950",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"94","1950",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"95","1950",5.93,"75",0,0,0,0,-0.0695210695266724,-0.0695210695266724,-0.0554981529712677,-0.0155148208141327,0.0221209800802171,0.0198645787313581,0.0174610889516771,0.0108171086758375
"96","1950",43.96,"100",0,0,0,0,-0.390906035900116,-0.362740635871887,-0.187476336956024,-0.159299314022064,0,0,0,0
"97","1949",31.75,"75",0,0,0,0,-0.159527669660747,-0.15934735070914,-0.112344834022224,-0.02332694362849,0,0,0,0
"98","1949",370.12,"100",0,0,0,0,-0.0250119548290968,-0.0237803105264902,-0.0171554274857044,-0.0092009361833334,2.00075719476445e-005,2.00075719476445e-005,2.00075719476445e-005,1.04520358945592e-005
"99","1949",370.12,"100",0,0,0,0,-0.0250119548290968,-0.0237803105264902,-0.0171554274857044,-0.0092009361833334,2.00075719476445e-005,2.00075719476445e-005,2.00075719476445e-005,1.04520358945592e-005
"100","1948",6.22,"75",0,0,0,0,-0.797963976860046,-0.748960673809052,-0.265897154808044,0,0.0269890446215868,0.0264037573360838,0.0252750359941274,0.00905653089284897
"101","1948",7.66,"100",0,0,0,0,-0.0290502230636775,-0.0290173194371164,-0.0209394353441894,-0.00415984960272908,0.0705000166781247,0.065255687572062,0.0552475973963737,0.0272261872887611
"102","1948",7.66,"100",0,0,0,0,-0.0290502230636775,-0.0290173194371164,-0.0209394353441894,-0.00415984960272908,0.0705000166781247,0.065255687572062,0.0552475973963737,0.0272261872887611
"103","1948",2.9,"100",0,0,0,0,-0.151010626927018,-0.150836745277047,-0.100879037752748,-0.0132173020392656,0,0,0,0
"104","1948",618.41,"100",0,0,0,0,-0.159013021737337,-0.158832360059023,-0.109896566718817,-0.0200580283999443,0.00105956837069243,0.00105956837069243,0.00105956837069243,0.000329409900587052
"105","1948",618.41,"100",0,0,0,0,-0.159013021737337,-0.158832360059023,-0.109896566718817,-0.0200580283999443,0.00105956837069243,0.00105956837069243,0.00105956837069243,0.000329409900587052
"106","1947",2.935,"75",0,0,0,0,-0.197018474340438,-0.176684647798537,-0.118233568966387,-0.0342917777597891,0.032662783167325,0.0307348736096174,0.0248922649770975,0.0158680137246847
"107","1946",2.89,"75",0,0,0,0,0,0,0,0,0,0,0,0
"108","1946",618.41,"100",0,0,0,0,-0.159013021737337,-0.158832360059023,-0.109896566718817,-0.0200580283999443,0.00105956837069243,0.00105956837069243,0.00105956837069243,0.000329409900587052
"109","1945",618.41,"100",0,0,0,0,-0.159013021737337,-0.158832360059023,-0.109896566718817,-0.0200580283999443,0.00105956837069243,0.00105956837069243,0.00105956837069243,0.000329409900587052
"110","1939",9.03325,"75",0,0,0,0,-0.0753583679733829,-0.0743191684423045,-0.0496874372301654,-0.00103187058717319,0,0,0,0
"111","1937",10.17,"100",0,0,0,0,-0.0706491228193045,-0.0687380116432905,-0.0559236463159323,-0.0300817135721445,0.0597531394159887,0.0594968276564032,0.0588965605711564,0.0425847489386797
"112","1936",598.62,"100",0,0,0,0,-0.412747129797935,-0.407927855849266,-0.346413895487785,-0.168094918131828,0,0,0,0
"113","1936",834.39,"100",0,0,0,0,0,0,0,0,0.00214611226681757,0.00214611226681757,0.00214611226681757,0.000608152593486011
"114","1936",834.39,"100",0,0,0,0,0,0,0,0,0.00214611226681757,0.00214611226681757,0.00214611226681757,0.000608152593486011
"115","1935",1.99,"100",0,0,0,0,-0.039260383695364,-0.0391524434089661,-0.0373927280306816,-0.0183202028274536,0,0,0,0
"116","1934",1.04,"100",0,0,0,0,-0.153931185603142,-0.153090253472328,-0.00994652789086103,0,0,0,0,0
"117","1934",2443.9,"100",-0.0735937356948853,-0.0720149874687195,-0.0679539442062378,-0.0336273908615112,0,0,0,0,0,0,0,0
"118","1934",324.34,"100",0,0,0,0,-0.185905646532774,-0.166402172297239,-0.112959932535887,-0.0231972075998783,0,0,0,0
"119","1934",324.34,"100",0,0,0,0,-0.185905646532774,-0.166402172297239,-0.112959932535887,-0.0231972075998783,0,0,0,0
"120","1934",1161.4,"100",0,0,0,0,-0.142287015914917,-0.124482303857803,-0.112355917692184,-0.0407728850841522,0,0,0,0
"121","1934",324.34,"100",0,0,0,0,-0.185905646532774,-0.166402172297239,-0.112959932535887,-0.0231972075998783,0,0,0,0
"122","1934",1161.4,"100",0,0,0,0,-0.142287015914917,-0.124482303857803,-0.112355917692184,-0.0407728850841522,0,0,0,0
"123","1934",1161.4,"100",0,0,0,0,-0.142287015914917,-0.124482303857803,-0.112355917692184,-0.0407728850841522,0,0,0,0
"124","1933",1.63,"75",-0.0753327533602715,-0.0592602081596851,0,0,0,0,0,0,0.0269981997553259,0.0270755729870871,0.0281650169054046,0.00940976664423943
"125","1932",162.05,"75",0,0,0,0,-0.039260383695364,-0.0391524434089661,-0.0373927280306816,-0.0183202028274536,0,0,0,0
"126","1932",4.54,"75",0,0,0,0,-0.580106871202588,-0.498946385458112,-0.33042155392468,-0.0294530671089888,0,0,0,0
"127","1932",7.175,"50",0,0,0,0,-0.402731686830521,-0.37901172041893,-0.267439275979996,-0.123609811067581,0,0,0,0
"128","1931",1086.65,"100",-0.596739947775092,-0.552586376646247,-0.408022165277686,-4.54497550705923e-016,0,0,0,0,0,0,0,0
"129","1931",433.33,"100",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"130","1931",17.29,"75",-0.53961181640625,-0.510777294635773,-0.245574086904526,-0.00647765398025513,0,0,0,0,0,0,0,0
"131","1931",97.6,"100",0,0,0,0,-0.0645490437746048,-0.0624271221458912,-0.0367249622941017,-4.86067801830359e-006,0,0,0,0
"132","1931",1.955,"75",0,0,0,0,-0.234067319892347,-0.197277127765119,-0.103290877304971,-0.0164828402921557,0.0206409482198069,0.0198146034963429,0.0165204447694123,0.00958429742604494
"133","1931",1.955,"75",0,0,0,0,-0.234067319892347,-0.197277127765119,-0.103290877304971,-0.0164828402921557,0.0206409482198069,0.0198146034963429,0.0165204447694123,0.00958429742604494
"134","1930",1137.68,"100",0,0,0,0,-0.561691825088928,-0.396043394503067,-0.090915215012501,-0.000599726612563245,0,0,0,0
"135","1930",605.74,"100",0,0,0,0,-0.29244863986969,-0.288621842861176,-0.106995761394501,-0.00904840230941772,0,0,0,0
"136","1930",605.74,"100",0,0,0,0,-0.29244863986969,-0.288621842861176,-0.106995761394501,-0.00904840230941772,0,0,0,0
"137","1930",605.74,"100",0,0,0,0,-0.29244863986969,-0.288621842861176,-0.106995761394501,-0.00904840230941772,0,0,0,0
"138","1930",4.85056,"75",0,0,0,0,-0.616162002035901,-0.589857697436139,-0.247785434076116,0,0.00580310316581745,0.00573930640530307,0.00542164192302153,0.00184459192678332
